ID Cliente 2|Segmento
10000264834|CLASICO
10000018169|PREMIUM
10000254379|CLASICO
10000157427|CLASICO
10000248252|CLASICO
10000137390|PREFERENTE
10000102664|PREFERENTE
10000140951|CLASICO
10000273235|CLASICO
10000093775|CLASICO
10000040591|CLASICO
10000028794|CLASICO
10000060068|CLASICO
10000107834|PREFERENTE
10000120709|CLASICO
10000244965|PREFERENTE
10000079117|CLASICO
10000038638|CLASICO
10000357230|PREFERENTE
10000081482|PREFERENTE
10000347486|PREFERENTE
10000021863|PREMIUM
10000151108|CLASICO
10000072778|CLASICO
10000127447|CLASICO
10000280926|CLASICO
10000073803|CLASICO
10000093265|PREFERENTE
10000270124|PREFERENTE
10000157220|CLASICO
10000179717|PREFERENTE
10000269597|PREFERENTE
10000315992|CLASICO
10000131520|PREMIUM
10000049834|PREFERENTE
10000025204|PREFERENTE
10000027992|CLASICO
10000253510|CLASICO
10000169059|CLASICO
10000249938|PREMIUM
10000220620|CLASICO
10000052073|CLASICO
10000356959|CLASICO
10000092228|PREFERENTE
10000340281|PREFERENTE
10000172541|CLASICO
10000153986|CLASICO
10000046011|CLASICO
10000021829|CLASICO
10000058935|CLASICO
10000074727|CLASICO
10000096820|CLASICO
10000130226|PREFERENTE
10000028303|CLASICO
10000070065|CLASICO
10000182211|PREFERENTE
10000296267|CLASICO
10000306951|CLASICO
10000224431|CLASICO
10000297685|PREFERENTE
10000318477|CLASICO
10000011276|CLASICO
10000296334|CLASICO
10000278180|PREMIUM
10000015745|CLASICO
10000095906|CLASICO
10000160061|PREFERENTE
10000280551|PREFERENTE
10000343956|PREFERENTE
10000063241|PREFERENTE
10000208303|PREFERENTE
10000135313|PREFERENTE
10000263147|CLASICO
10000230838|PREFERENTE
10000130052|PREMIUM
10000018999|PREFERENTE
10000070165|PREFERENTE
10000045471|PREFERENTE
10000189455|CLASICO
10000234478|SWM
10000312580|PREFERENTE
10000343845|CLASICO
10000323170|CLASICO
10000170649|PREFERENTE
10000318717|CLASICO
10000103740|CLASICO
10000033079|PREFERENTE
10000175948|CLASICO
10000020365|SWM
10000336741|CLASICO
10000267461|CLASICO
10000053343|PREFERENTE
10000070950|PREFERENTE
10000280453|CLASICO
10000078234|PREFERENTE
10000051021|CLASICO
10000047116|CLASICO
10000103469|CLASICO
10000324895|CLASICO
10000356138|PREFERENTE
10000133677|PREFERENTE
10000259050|CLASICO
10000033105|CLASICO
10000110670|CLASICO
10000004065|PREMIUM
10000184635|CLASICO
10000032811|PREFERENTE
10000134714|PREFERENTE
10000290941|CLASICO
10000262707|CLASICO
10000160721|CLASICO
10000208457|CLASICO
10000119318|CLASICO
10000225797|PREFERENTE
10000307139|PREFERENTE
10000110795|CLASICO
10000082823|PREFERENTE
10000224907|PREFERENTE
10000351410|CLASICO
10000099497|PREFERENTE
10000049083|PREFERENTE
10000054144|PREMIUM
10000233982|CLASICO
10000285632|CLASICO
10000118460|CLASICO
10000120129|CLASICO
10000004233|PREFERENTE
10000032573|CLASICO
10000015470|CLASICO
10000067561|CLASICO
10000244264|PREFERENTE
10000112853|PREFERENTE
10000023084|CLASICO
10000164747|CLASICO
10000104659|CLASICO
10000040616|PREFERENTE
10000018420|PREFERENTE
10000280811|PREFERENTE
10000248025|CLASICO
10000079537|PREFERENTE
10000261189|CLASICO
10000150463|PREFERENTE
10000164338|CLASICO
10000243346|CLASICO
10000041248|PREFERENTE
10000138584|PREFERENTE
10000159962|CLASICO
10000304297|CLASICO
10000025294|CLASICO
10000273633|CLASICO
10000098571|PREFERENTE
10000127680|CLASICO
10000258179|CLASICO
10000117991|PREFERENTE
10000166886|CLASICO
10000182749|PREFERENTE
10000116933|PREMIUM
10000120939|CLASICO
10000028243|PREMIUM
10000030029|PREFERENTE
10000288615|CLASICO
10000064124|CLASICO
10000225283|CLASICO
10000082545|PREFERENTE
10000005522|CLASICO
10000000208|CLASICO
10000110670|CLASICO
10000024948|CLASICO
10000097086|PREFERENTE
10000101915|CLASICO
10000186734|CLASICO
10000194564|CLASICO
10000041336|CLASICO
10000000254|PREFERENTE
10000181290|PREFERENTE
10000069228|CLASICO
10000028362|CLASICO
10000099083|CLASICO
10000041952|CLASICO
10000133733|PREMIUM
10000254247|CLASICO
10000279434|CLASICO
10000145119|CLASICO
10000195049|PREFERENTE
10000018243|PREMIUM
10000068120|CLASICO
10000224121|CLASICO
10000027482|PREFERENTE
10000140209|CLASICO
10000234399|CLASICO
10000263055|CLASICO
10000283545|CLASICO
10000005018|PREFERENTE
10000031345|CLASICO
10000059025|CLASICO
10000022100|CLASICO
10000311761|CLASICO
10000113979|CLASICO
10000145265|CLASICO
10000054142|PREFERENTE
10000258276|CLASICO
10000116771|CLASICO
10000338004|CLASICO
10000103836|PREFERENTE
10000311498|CLASICO
10000237107|CLASICO
10000201319|PREFERENTE
10000011482|PREFERENTE
10000014101|CLASICO
10000124945|PREFERENTE
10000291274|CLASICO
10000006248|PREFERENTE
10000236173|CLASICO
10000189359|PREFERENTE
10000131925|CLASICO
10000071728|CLASICO
10000019288|CLASICO
10000028510|PREFERENTE
10000198893|CLASICO
10000271175|PREFERENTE
10000256135|CLASICO
10000215824|CLASICO
10000199781|PREFERENTE
10000112117|CLASICO
10000017612|PREFERENTE
10000345732|PREFERENTE
10000329435|CLASICO
10000332635|CLASICO
10000208078|CLASICO
10000169833|CLASICO
10000182008|PREMIUM
10000301579|CLASICO
10000103564|CLASICO
10000278831|PREFERENTE
10000063248|PREFERENTE
10000215648|CLASICO
10000141778|PREFERENTE
10000212605|CLASICO
10000271848|PREFERENTE
10000002539|CLASICO
10000191212|CLASICO
10000156751|CLASICO
10000258807|PREFERENTE
10000145156|CLASICO
10000036621|PREFERENTE
10000114364|CLASICO
10000009484|CLASICO
10000065848|CLASICO
10000224459|CLASICO
10000280318|CLASICO
10000086627|CLASICO
10000167511|PREFERENTE
10000016892|CLASICO
10000252684|PREFERENTE
10000242593|PREFERENTE
10000267771|CLASICO
10000305554|CLASICO
10000120204|CLASICO
10000228608|CLASICO
10000126864|PREMIUM
10000067844|PREFERENTE
10000192365|CLASICO
10000213444|CLASICO
10000195257|CLASICO
10000262033|CLASICO
10000205819|CLASICO
10000146661|PREFERENTE
10000016186|CLASICO
10000101498|CLASICO
10000122579|PREFERENTE
10000109313|PREFERENTE
10000110283|CLASICO
10000176919|CLASICO
10000253034|CLASICO
10000164725|CLASICO
10000132029|PREMIUM
10000193881|PREFERENTE
10000021010|CLASICO
10000315213|CLASICO
10000296660|CLASICO
10000063480|CLASICO
10000057254|PREFERENTE
10000138931|CLASICO
10000202737|PREFERENTE
10000171933|PREFERENTE
10000320312|CLASICO
10000026208|CLASICO
10000039769|CLASICO
10000069807|PREMIUM
10000306140|CLASICO
10000066849|CLASICO
10000345413|PREFERENTE
10000200347|CLASICO
10000251990|CLASICO
10000243482|CLASICO
10000056548|PREFERENTE
10000009118|CLASICO
10000018196|PREMIUM
10000076400|PREFERENTE
10000015268|CLASICO
10000136718|CLASICO
10000088236|CLASICO
10000140738|PREMIUM
10000156193|CLASICO
10000186552|CLASICO
10000151009|PREFERENTE
10000124066|CLASICO
10000015702|CLASICO
10000007545|PREFERENTE
10000028025|PREFERENTE
10000356577|CLASICO
10000227044|PREFERENTE
10000338110|CLASICO
10000311911|CLASICO
10000046453|CLASICO
10000116110|CLASICO
10000060457|CLASICO
10000146836|CLASICO
10000133744|CLASICO
10000281337|CLASICO
10000102676|CLASICO
10000154091|CLASICO
10000123347|CLASICO
10000301294|CLASICO
10000251518|PREFERENTE
10000231398|CLASICO
10000110147|CLASICO
10000301253|CLASICO
10000029300|CLASICO
10000025442|PREMIUM
10000196181|PREFERENTE
10000050551|PREFERENTE
10000069793|PREMIUM
10000177292|PREFERENTE
10000337322|CLASICO
10000246241|CLASICO
10000006301|CLASICO
10000099972|PREFERENTE
10000146685|PREFERENTE
10000029142|PREMIUM
10000085581|PREFERENTE
10000006759|PREMIUM
10000058861|CLASICO
10000004019|PREFERENTE
10000037277|PREFERENTE
10000273644|CLASICO
10000000290|PREFERENTE
10000097875|CLASICO
10000193085|PREFERENTE
10000244483|CLASICO
10000337388|PREFERENTE
10000186594|CLASICO
10000053786|CLASICO
10000006479|PREFERENTE
10000077239|CLASICO
10000202019|PREFERENTE
10000076031|CLASICO
10000033931|CLASICO
10000180104|CLASICO
10000048032|PREFERENTE
10000265281|PREFERENTE
10000090644|PREFERENTE
10000046236|PREFERENTE
10000235603|CLASICO
10000275023|PREFERENTE
10000031174|PREFERENTE
10000172593|PREFERENTE
10000319782|CLASICO
10000155146|CLASICO
10000200736|PREFERENTE
10000053367|CLASICO
10000255272|PREFERENTE
10000179441|CLASICO
10000037400|PREFERENTE
10000209568|PREFERENTE
10000101385|CLASICO
10000013741|PREFERENTE
10000161206|PREFERENTE
10000185937|CLASICO
10000252615|PREFERENTE
10000174886|CLASICO
10000346220|PREFERENTE
10000124352|SWM
10000118236|CLASICO
10000085397|CLASICO
10000018565|PREFERENTE
10000062879|CLASICO
10000214759|CLASICO
10000321521|CLASICO
10000060592|PREMIUM
10000024242|CLASICO
10000003904|PREFERENTE
10000253396|CLASICO
10000023550|CLASICO
10000177233|CLASICO
10000262365|CLASICO
10000254768|CLASICO
10000072993|CLASICO
10000145080|CLASICO
10000338464|PREFERENTE
10000085256|PREFERENTE
10000219310|CLASICO
10000051849|CLASICO
10000036217|CLASICO
10000116429|CLASICO
10000059458|CLASICO
10000026898|PREFERENTE
10000157267|CLASICO
10000176988|PREFERENTE
10000152908|PREFERENTE
10000000469|CLASICO
10000015578|CLASICO
10000352201|CLASICO
10000299538|CLASICO
10000049801|CLASICO
10000234584|CLASICO
10000211716|PREFERENTE
10000079392|PREFERENTE
10000183525|CLASICO
10000265445|CLASICO
10000317398|CLASICO
10000257474|PREMIUM
10000073138|PREFERENTE
10000234006|CLASICO
10000339397|CLASICO
10000019084|PREFERENTE
10000302408|CLASICO
10000209179|CLASICO
10000204389|CLASICO
10000021510|CLASICO
10000228295|CLASICO
10000101241|CLASICO
10000101162|CLASICO
10000063844|CLASICO
10000093671|CLASICO
10000062539|CLASICO
10000067509|CLASICO
10000250654|CLASICO
10000165725|CLASICO
10000165592|CLASICO
10000303782|PREMIUM
10000110468|PREFERENTE
10000011118|CLASICO
10000263273|CLASICO
10000245518|PREFERENTE
10000109427|CLASICO
10000309290|PREFERENTE
10000288588|CLASICO
10000041270|CLASICO
10000001767|PREFERENTE
10000221071|CLASICO
10000129692|CLASICO
10000006681|PREFERENTE
10000100256|CLASICO
10000165594|CLASICO
10000229712|CLASICO
10000213209|CLASICO
10000260939|CLASICO
10000256774|CLASICO
10000032982|PREFERENTE
10000243219|CLASICO
10000260298|CLASICO
10000184281|CLASICO
10000083985|CLASICO
10000016219|PREFERENTE
10000141498|PREFERENTE
10000207534|CLASICO
10000037124|PREFERENTE
10000284092|CLASICO
10000038231|CLASICO
10000255519|CLASICO
10000145123|CLASICO
10000037994|CLASICO
10000265940|CLASICO
10000000917|PREFERENTE
10000212661|CLASICO
10000130385|CLASICO
10000050879|PREFERENTE
10000134367|PREFERENTE
10000181189|PREMIUM
10000263635|PREFERENTE
10000196751|CLASICO
10000109514|CLASICO
10000161462|PREFERENTE
10000296870|CLASICO
10000117662|CLASICO
10000319386|PREFERENTE
10000232582|CLASICO
10000054981|PREFERENTE
10000300186|CLASICO
10000223528|CLASICO
10000091500|CLASICO
10000330981|PREFERENTE
10000317073|CLASICO
10000131239|CLASICO
10000033517|PREFERENTE
10000132545|PREFERENTE
10000017296|CLASICO
10000208851|CLASICO
10000158594|CLASICO
10000236318|CLASICO
10000139330|CLASICO
10000289358|CLASICO
10000206046|PREFERENTE
10000019996|PREFERENTE
10000113011|CLASICO
10000059868|CLASICO
10000274525|CLASICO
10000080824|PREFERENTE
10000230944|CLASICO
10000195738|PREFERENTE
10000336875|CLASICO
10000147853|CLASICO
10000229574|PREFERENTE
10000035499|CLASICO
10000198132|PREFERENTE
10000319819|CLASICO
10000251166|CLASICO
10000060103|CLASICO
10000357494|CLASICO
10000060380|CLASICO
10000025603|CLASICO
10000142111|CLASICO
10000287321|CLASICO
10000324524|CLASICO
